ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,day_of_week
2017-07-31,235.04611552734374,175.3505546439333,238.15256664682613,235.04611552734374,235.04611552734374,-29.6632505461675,-29.6632505461675,-29.6632505461675,0.5098746638718028,0.5098746638718028,0.5098746638718028,-30.173125210039302,-30.173125210039302,-30.173125210039302,0.0,0.0,0.0,205.38286498117625,Monday
2017-08-01,235.3293422781312,176.04411840970215,241.31229954754335,235.3293422781312,235.3293422781312,-26.140030418440176,-26.140030418440176,-26.140030418440176,2.547495504471433,2.547495504471433,2.547495504471433,-28.68752592291161,-28.68752592291161,-28.68752592291161,0.0,0.0,0.0,209.18931185969103,Tuesday
2017-08-02,235.61256902891864,176.4551797526865,243.60522351561428,235.61256902891864,235.61256902891864,-24.293013039751564,-24.293013039751564,-24.293013039751564,2.9108501371643354,2.9108501371643354,2.9108501371643354,-27.2038631769159,-27.2038631769159,-27.2038631769159,0.0,0.0,0.0,211.31955598916707,Wednesday
2017-08-03,235.89579577970608,174.72247924910732,245.1615305894977,235.89579577970608,235.89579577970608,-23.83108656924657,-23.83108656924657,-23.83108656924657,1.920961723826856,1.920961723826856,1.920961723826856,-25.75204829307343,-25.75204829307343,-25.75204829307343,0.0,0.0,0.0,212.0647092104595,Thursday
2017-08-04,236.17902253049354,180.5624192503402,247.71327620362317,236.17902253049354,236.17902253049354,-21.508846972987406,-21.508846972987406,-21.508846972987406,2.851759282119764,2.851759282119764,2.851759282119764,-24.36060625510717,-24.36060625510717,-24.36060625510717,0.0,0.0,0.0,214.67017555750613,Friday
2017-08-07,237.02870278285587,183.19845566622408,248.4033612455256,237.02870278285587,237.02870278285587,-20.288165378585276,-20.288165378585276,-20.288165378585276,0.5098746638699148,0.5098746638699148,0.5098746638699148,-20.79804004245519,-20.79804004245519,-20.79804004245519,0.0,0.0,0.0,216.74053740427058,Monday
2017-08-08,237.3119295336433,189.33004979715486,252.78387428621,237.3119295336433,237.3119295336433,-17.333818837653116,-17.333818837653116,-17.333818837653116,2.547495504476456,2.547495504476456,2.547495504476456,-19.88131434212957,-19.88131434212957,-19.88131434212957,0.0,0.0,0.0,219.97811069599018,Tuesday
2017-08-09,237.59515628443077,188.97707336533873,255.81748034783845,237.59515628443077,237.59515628443077,-16.212629367864373,-16.212629367864373,-16.212629367864373,2.910850137165814,2.910850137165814,2.910850137165814,-19.12347950503019,-19.12347950503019,-19.12347950503019,0.0,0.0,0.0,221.3825269165664,Wednesday
2017-08-10,237.87838303521823,188.3653233373899,254.74763291079248,237.87838303521823,237.87838303521823,-16.610914938028618,-16.610914938028618,-16.610914938028618,1.9209617238286125,1.9209617238286125,1.9209617238286125,-18.531876661857233,-18.531876661857233,-18.531876661857233,0.0,0.0,0.0,221.2674680971896,Thursday
2017-08-11,238.16160978600567,189.9617708321097,254.83004211348927,238.16160978600567,238.16160978600567,-15.257280245337702,-15.257280245337702,-15.257280245337702,2.8517592821183984,2.8517592821183984,2.8517592821183984,-18.109039527456098,-18.109039527456098,-18.109039527456098,0.0,0.0,0.0,222.90432954066796,Friday
