Ações por Índice
Dados de 5 a 8 de 2023
Empresa;Código;Índices dos quais participa
AMBEV S/A;ON;ABEV3;AGFS,GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,INDX,ISEE,MLCX;
AMBIPAR;ON   NM;AMBP3;IBRA,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL;
AMC ENTERT H;DRN;A2MC34;BDRX;
AMERICAN AIR;DRN;AALL34;BDRX;
AMERICAN EXP;DRN;AXPB34;BDRX;
AMERICAN TOW;DRN;T1OW34;BDRX;
ANIMA;ON   NM;ANIM3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
APPLE;DRN;AAPL34;BDRX;
APPLIED MATE;DRN;A1MT34;BDRX;
ARCELOR;DRN;ARMT34;BDRX;
AREZZO CO;ON   NM;ARZZ3;AGFS,GPTW,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL;
ARMAC;ON   NM;ARML3;AGFS,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL;
ASSAI;ON   NM;ASAI3;AGFS,GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX;
ASTRAZENECA;DRN;A1ZN34;BDRX;
ATT INC;DRN;ATTB34;BDRX;
AUREN;ON   NM;AURE3;IBRA,IBXX,ICO2,IEEX,IGCT,IGCX,IGNM,ITAG,MLCX,UTIL;
AZUL;PN   N2;AZUL4;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,ISEE,ITAG,IVBX,SMLL;
B3;ON   NM;B3SA3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX;
BAHEMA;ON   MA;BAHI3;ITAG;
BAIDU INC;DRN;BIDU34;BDRX;
BANCO BMG;PN   N1;BMGB4;IGCX,ITAG;
BANCO PAN;PN   N1;BPAN4;GPTW,IBRA,IFNC,IGCT,IGCX,ISEE,ITAG,SMLL;
BANCO SANTAN;DRN;B1SA34;BDRX;
BANESE;PN;BGIP4;ITAG;
BANK AMERICA;DRN;BOAC34;BDRX;
BANRISUL;ON   N1;BRSR3;IGCX,ITAG;
BANRISUL;PNB  N1;BRSR6;IBRA,IDIV,IFNC,IGCT,IGCX,ITAG,SMLL;
BBSEGURIDADE;ON   NM;BBSE3;IBOV,IBRA,IBXL,IBXX,IDIV,IFNC,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX;
BEMOBI TECH;ON   NM;BMOB3;GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL;
BERKSHIRE;DRN;BERK34;BDRX;
BEYOND MEAT;DRN;B2YN34;BDRX;
BILIBILI INC;DRN;B1IL34;BDRX;
BIOMM;ON   MA;BIOM3;ITAG;
BIONTECH SE;DRN;B1NT34;BDRX;
BLACKROCK;DRN;BLAK34;BDRX;
BLAU;ON   NM;BLAU3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
BLOCK INC.;DRN;S2QU34;BDRX;
BNY MELLON;DRN;BONY34;BDRX;
BOA SAFRA;ON   NM;SOJA3;IGCX,IGNM,ITAG;
BOA VISTA;ON   NM;BOAS3;GPTW,IBRA,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL;
BOOKING;DRN;BKNG34;BDRX;
BP PLC;DRN;B1PP34;BDRX;
BR PARTNERS;UNT  N2;BRBI11;IGCX;
BR PROPERT;ON;BRPR3;GPTW,IBRA,IMOB,ITAG,SMLL;
BRADESCO;ON   N1;BBDC3;IBOV,IBRA,IBXX,ICO2,IFNC,IGCT,IGCX,ITAG,MLCX;
BRADESCO;PN   N1;BBDC4;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX;
BRADESPAR;ON   N1;BRAP3;IGCX,ITAG;
BRADESPAR;PN   N1;BRAP4;IBOV,IBRA,IBXX,IDIV,IGCT,IGCX,IMAT,ITAG,SMLL;
BRASIL;ON   NM;BBAS3;IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX;
BRASILAGRO;ON   NM;AGRO3;AGFS,GPTW,IBRA,ICON,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL;
BRASKEM;ON   N1;BRKM3;IGCX,ITAG;
BRASKEM;PNA  N1;BRKM5;IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IMAT,INDX,ISEE,ITAG,MLCX;
BRF SA;ON   NM;BRFS3;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,SMLL;
BRISANET;ON   NM;BRIT3;IGCX,IGNM,ITAG;
BRITISH AMER;DRN;B1TI34;BDRX;
BROADCOM INC;DRN;AVGO34;BDRX;
BTGP BANCO;UNT  N2;BPAC11;IBOV,IBRA,IBXL,IBXX,ICO2,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX;
CAIXA SEGURI;ON   NM;CXSE3;GPTW,IBRA,IFNC,IGCT,IGCX,IGNM,ITAG,MLCX;
CAMIL;ON   NM;CAML3;AGFS,IBRA,ICON,IGCT,IGCX,IGNM,INDX,ITAG,SMLL;
CARNIVAL COR;DRN;C1CL34;BDRX;
CARREFOUR BR;ON   NM;CRFB3;AGFS,IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX;
CARTESIA FII;CI;CACR11;IFIX;
CATERPILLAR;DRN;CATP34;BDRX;
CBA;ON   NM;CBAV3;GPTW,IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,IMAT,ISEE,ITAG,SMLL;
CCR SA;ON   NM;CCRO3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX;
CEA MODAS;ON   NM;CEAB3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
CEDRO;PN   N1;CEDO4;IGCX,ITAG;
CELESC;ON   N2;CLSC3;IGCX,ITAG;
CELESC;PN   N2;CLSC4;IGCX,ITAG;
CEMIG;ON   N1;CMIG3;IBRA,IDIV,IGCT,IGCX,MLCX,UTIL;
